Date,Forecasted_Close,Forecasted_Open,Forecasted_High,Forecasted_Low
2021-09-03,0.29677266666666663,0.285338,0.3050665,0.28366183333333334
2021-09-04,0.2920875,0.29013425,0.3150175,0.28366183333333334
2021-09-05,0.29098799999999997,0.293265,0.31501749999999995,0.2770323333333333
2021-09-06,0.2920875,0.285338,0.3112485,0.28366183333333334
2021-09-07,0.29677266666666674,0.29013425,0.30754,0.29111933333333334
2021-09-08,0.30085866666666666,0.293265,0.30754,0.29111933333333334
2021-09-09,0.3045003333333334,0.285338,0.3112485,0.2853788333333333
2021-09-10,0.3045003333333333,0.29013425,0.3130705,0.28366183333333334
2021-09-11,0.30352983333333333,0.293265,0.31669716666666664,0.2831155
2021-09-12,0.30352983333333333,0.29260375,0.317952,0.2853788333333333
2021-09-13,0.30352983333333333,0.29230475,0.31688,0.28990866666666665
2021-09-14,0.31036733333333333,0.29230475,0.31688,0.29601799999999995
2021-09-15,0.31448383333333335,0.29230475,0.31688,0.2982748333333333
2021-09-16,0.31098466666666663,0.29230475,0.31688,0.29421366666666665
2021-09-17,0.3095556666666666,0.29663975,0.31688,0.2928623333333333
2021-09-18,0.3095556666666667,0.29260375,0.31688,0.2961823333333333
2021-09-19,0.3103673333333334,0.29574775000000003,0.31688,0.30624233333333334
2021-09-20,0.3103673333333334,0.29260375,0.31688,0.3006975
2021-09-21,0.3103673333333334,0.29574775,0.31688,0.2928623333333333
2021-09-22,0.3103673333333334,0.29260375,0.31688,0.29188116666666664
2021-09-23,0.3170105,0.29574775,0.3235653333333333,0.3023458333333333
2021-09-24,0.3130726666666667,0.29260375,0.319899,0.3006975
2021-09-25,0.31381016666666667,0.29574775,0.32039733333333337,0.30234583333333326
2021-09-26,0.3162775,0.29260375,0.3235653333333333,0.30131349999999996
